id,name,host_id,PriceSeq,Price,ReviewSeq,ReviewScore,NBSeq
15645066,"1 Bedroom in Kendall Square",43450256,1,60.00,5,92,5
15788977,"AVAILABLE NOW SPACIOUS 1 BED + DEN in HARVARD SQ",102134649,3,179.00,5,97,7
15789298,"Private Rm near Tufts/Harvard/MIT/MGH**",70969915,1,95.00,5,98,8
15826847,"One Bedroom Short Walk to Harvard (Rm 3)",51079261,3,191.00,5,100,9
15827795,"One Bedroom Short Walk to Harvard (Rm 14)",51079261,3,159.00,5,98,9
15881987,"One Bedroom Short Walk to Harvard (Rm 2)",51079261,3,191.00,5,95,6
15929332,"Harvard/MIT (Unit 1)- Brooklyn Ambiance w/ Parking",35489146,4,250.00,5,99,6
15930566,"Spacious 2BR 2 bath w/deck, walk to Harvard & MIT",6626676,5,290.00,5,99,6
16012632,"One Bedroom Short Walk to Harvard (Rm 1)",51079261,3,200.00,5,100,6
16013016,"One Bedroom Short Walk to Harvard (Rm 12)",51079261,3,191.00,0,0,9
16013157,"One Bedroom Short Walk to Harvard (Rm 13)",51079261,3,166.00,5,95,9
16013859,"One Subway Stop to Harvard Two Stops to MIT (B)",51079261,3,162.00,4,86,8
16056199,"Spacious one queen bedroom with parking(with fee)",104567106,1,85.00,5,91,12
16136728,"Bright & airy studio in historic home",1364642,3,195.00,5,98,5
16146887,"A floor all to yourself in our historic home",1364642,2,119.00,5,97,5
16238299,"Big and Luminous Apartment at Cambridge Port",13866658,2,150.00,5,97,4
16353525,"Comfortable Cloud, Close to Everything... (3S)",229695597,1,80.00,5,96,12
16361055,"Cambridge in Harvard Square - a spacious home.",107139150,5,350.00,5,99,13
16436214,"One Bedroom Short Walk to Harvard (Rm 5)",51079261,3,175.00,5,100,9
16572261,"Cozy, Renovated Abode Between Harvard & MIT",45224133,1,99.00,5,97,6
16842241,"2# Minutes to Boston -Basic Bedroom",20551003,1,68.00,5,91,5
16843178,"9# Minutes to Boston -Basic Bedroom",20551003,1,68.00,4,89,5
17011428,"Cambridge Basement Apartment over 90 day rental",404360,2,125.00,4,90,13
17107558,"Private room for 2 close to Harvard/MIT",6341616,3,175.00,5,100,6
17209703,"West Cambridge 1 BR entire apartment near Harvard",115833412,1,99.00,5,98,10
17285749,"Private, quiet and clean studio in ideal location",116598782,1,95.00,5,97,1
17348129,"2 Bed 2 Bath in Kendall Square",43450256,5,500.00,5,100,5
17693766,"2020 Grad Student or Professor!",40965,1,85.00,5,96,8
17811602,"Spacious 1 Bedroom w/ Free Parking Near MIT",43450256,3,184.00,5,97,5
17942925,"Sunny, quiet Cambridge apartment near Davis Sq",13307006,1,67.00,5,99,8
18330818,"Penthouse Room With Private Entrance",92004180,2,120.00,5,98,8
18406874,"Brand New 2BR Den | Full Kitchen |  East Cambridge",95459395,5,849.00,0,0,5
18613736,"Long-term Renters Please! Harvard Walkable 1bdr",9161433,3,179.00,5,100,7
18614693,"Luxurious - Walkable to Harvard Full 1bdrm + sofa",9161433,2,113.00,3,80,7
18676360,"Walk to Harvard/MIT (unit 2) w/ parking",35489146,5,300.00,5,99,6
18682931,"^10min walk-Harvard, Suite-like/private entry/3fl",28283338,1,74.00,5,100,1
